[[100], [1.0], [0.01], [ROULETTE, RANK, TOURNAMENT], [SINGLE_POINT, DOUBLE_POINT, N_POINT, UNIFORM], [SINGLE_INVERT, DOUBLE_INVERT, HYPERMUTATE], [10000], [600000], [2000], [1.0], [1.0], [1.0]]
ID MIN_SELECTED AVG_SELECTED STDDEV_SELECTED AVG_GENERATIONS
000 22 22.7 0.6749485577105528 2908.6
001 20 22.3 1.0593499054713802 3091.6
002 20 21.9 1.1972189997378646 2638.4
010 21 22.5 1.4337208778404378 2955.0
011 20 21.9 1.1005049346146119 3125.6
012 20 22.9 1.5238839267549948 2644.8
020 20 22.1 1.449137674618944 2988.0
021 19 21.7 1.567021236472421 2874.2
022 21 22.8 1.3165611772087664 2496.9
030 21 22.2 0.9189365834726816 3424.1
031 19 21.9 1.7919573407620817 3007.2
032 21 22.5 1.1785113019775793 2585.2
100 21 22.2 1.2292725943057183 3651.3
101 19 21.4 1.0749676997731399 3214.6
102 22 22.9 1.2866839377079187 2301.5
110 21 22.6 0.9660917830792958 3828.3
111 21 22.7 1.0593499054713802 2827.7
112 19 21.9 2.2335820757001272 2237.3
120 20 21.5 1.0801234497346432 2721.3
121 20 21.1 1.2866839377079187 2821.4
122 20 21.4 1.1737877907772671 2099.6
130 20 21.9 1.3703203194062976 3224.6
131 18 21.1 1.523883926754995 2464.3
132 19 21.6 1.2649110640673515 2101.1
200 19 22.4 1.6465452046971292 2733.0
201 20 22.3 1.4181364924121764 2852.5
202 20 22.0 1.7638342073763935 2290.7
210 20 22.1 0.9944289260117533 2909.3
211 20 22.5 1.509230856356236 2813.9
212 20 22.1 1.1972189997378648 2380.5
220 20 21.4 1.0749676997731399 2772.5
221 18 21.2 1.4757295747452437 2327.8
222 20 21.3 1.1595018087284057 2224.7
230 20 21.5 0.97182531580755 2352.9
231 20 21.2 1.0327955589886444 2416.6
232 19 21.4 1.7126976771553506 2278.8



ID NUM_SELECTED NUM_GENERATIONS FEASIBLE
0000 24 2676 true
0001 23 2430 true
0002 22 2604 true
0003 22 3386 true
0004 22 2809 true
0005 23 3044 true
0006 23 2656 true
0007 22 3379 true
0008 23 3523 true
0009 23 2579 true
0010 23 2545 true
0011 22 3821 true
0012 23 2665 true
0013 23 3280 true
0014 23 3476 true
0015 22 2959 true
0016 23 3390 true
0017 20 2705 true
0018 23 2950 true
0019 21 3125 true
0020 24 2444 true
0021 22 3041 true
0022 21 2696 true
0023 23 3112 true
0024 21 2764 true
0025 21 2467 true
0026 22 2369 true
0027 23 2382 true
0028 20 2596 true
0029 22 2513 true
0100 21 2968 true
0101 21 2851 true
0102 22 2885 true
0103 21 3352 true
0104 24 2672 true
0105 22 2957 true
0106 23 2809 true
0107 25 2604 true
0108 24 2680 true
0109 22 3772 true
0110 23 2591 true
0111 21 4623 true
0112 21 3315 true
0113 23 2717 true
0114 22 2872 true
0115 23 3194 true
0116 21 3711 true
0117 22 2607 true
0118 20 2675 true
0119 23 2951 true
0120 23 2409 true
0121 24 2459 true
0122 24 2531 true
0123 23 2528 true
0124 25 2828 true
0125 22 2705 true
0126 20 2586 true
0127 21 2946 true
0128 24 2468 true
0129 23 2988 true
0200 22 3689 true
0201 24 2992 true
0202 21 3095 true
0203 21 2673 true
0204 22 2654 true
0205 20 2968 true
0206 24 2685 true
0207 24 2481 true
0208 21 3293 true
0209 22 3350 true
0210 20 2877 true
0211 22 2740 true
0212 24 2975 true
0213 19 2851 true
0214 22 2381 true
0215 24 2391 true
0216 21 3526 true
0217 22 2569 true
0218 21 3420 true
0219 22 3012 true
0220 22 2697 true
0221 21 2419 true
0222 23 2331 true
0223 25 2482 true
0224 23 2587 true
0225 22 2309 true
0226 23 2546 true
0227 21 2507 true
0228 24 2645 true
0229 24 2446 true
0300 23 3860 true
0301 21 2548 true
0302 23 3332 true
0303 21 3684 true
0304 21 2844 true
0305 22 2686 true
0306 23 2707 true
0307 23 4752 true
0308 22 4888 true
0309 23 2940 true
0310 23 2731 true
0311 23 2656 true
0312 25 2693 true
0313 21 2658 true
0314 21 3037 true
0315 21 3806 true
0316 19 3034 true
0317 21 3461 true
0318 21 3619 true
0319 24 2377 true
0320 23 2697 true
0321 21 2490 true
0322 23 2596 true
0323 21 2368 true
0324 23 2553 true
0325 22 3028 true
0326 25 2400 true
0327 22 2831 true
0328 22 2488 true
0329 23 2401 true
1000 23 2930 true
1001 21 5986 true
1002 22 3367 true
1003 21 3767 true
1004 22 3611 true
1005 23 4225 true
1006 21 3329 true
1007 21 3059 true
1008 24 2732 true
1009 24 3507 true
1010 22 2503 true
1011 23 4709 true
1012 19 3122 true
1013 21 3123 true
1014 21 2265 true
1015 21 2858 true
1016 22 2382 true
1017 21 3106 true
1018 22 4337 true
1019 22 3741 true
1020 23 2138 true
1021 22 2698 true
1022 26 2342 true
1023 24 2219 true
1024 22 2668 true
1025 22 2209 true
1026 23 2134 true
1027 22 2192 true
1028 23 2274 true
1029 22 2141 true
1100 23 3636 true
1101 21 3580 true
1102 23 3199 true
1103 23 4869 true
1104 23 4172 true
1105 21 4749 true
1106 23 5587 true
1107 24 2679 true
1108 23 2573 true
1109 22 3239 true
1110 21 3162 true
1111 23 2622 true
1112 23 3088 true
1113 23 2905 true
1114 22 4012 true
1115 25 2685 true
1116 22 2422 true
1117 23 2521 true
1118 23 2413 true
1119 22 2447 true
1120 25 2260 true
1121 20 2284 true
1122 21 2501 true
1123 19 2269 true
1124 20 2202 true
1125 20 2075 true
1126 24 2070 true
1127 25 2372 true
1128 23 2223 true
1129 22 2117 true
1200 20 3161 true
1201 21 2409 true
1202 23 2219 true
1203 23 2053 true
1204 21 5664 true
1205 21 2925 true
1206 20 2091 true
1207 22 2040 true
1208 22 2604 true
1209 22 2047 true
1210 20 2304 true
1211 22 5172 true
1212 21 2243 true
1213 23 2423 true
1214 20 4087 true
1215 20 2270 true
1216 23 2869 true
1217 22 2301 true
1218 20 2228 true
1219 20 2317 true
1220 21 2104 true
1221 21 2048 true
1222 20 2140 true
1223 21 2068 true
1224 23 2054 true
1225 21 2054 true
1226 21 2152 true
1227 20 2204 true
1228 23 2040 true
1229 23 2132 true
1300 23 2050 true
1301 24 3651 true
1302 23 2063 true
1303 23 3563 true
1304 20 5253 true
1305 21 5478 true
1306 21 2433 true
1307 22 2112 true
1308 22 2264 true
1309 20 3379 true
1310 20 2216 true
1311 22 3404 true
1312 23 2047 true
1313 22 2046 true
1314 22 2194 true
1315 18 3924 true
1316 20 2110 true
1317 20 2334 true
1318 22 2208 true
1319 22 2160 true
1320 21 2082 true
1321 23 2072 true
1322 21 2074 true
1323 22 2108 true
1324 19 2165 true
1325 23 2059 true
1326 21 2147 true
1327 23 2056 true
1328 22 2115 true
1329 21 2133 true
2000 23 2813 true
2001 22 2262 true
2002 24 3365 true
2003 21 2678 true
2004 23 3264 true
2005 21 2493 true
2006 24 2248 true
2007 23 2494 true
2008 19 3573 true
2009 24 2140 true
2010 25 2501 true
2011 23 2985 true
2012 23 2570 true
2013 21 2633 true
2014 22 2223 true
2015 22 2414 true
2016 20 4994 true
2017 23 2748 true
2018 23 2277 true
2019 21 3180 true
2020 21 2397 true
2021 21 2353 true
2022 20 2271 true
2023 24 2462 true
2024 21 2149 true
2025 24 2211 true
2026 22 2506 true
2027 22 2150 true
2028 25 2130 true
2029 20 2278 true
2100 22 2230 true
2101 20 3432 true
2102 22 4359 true
2103 22 2982 true
2104 22 2463 true
2105 24 2732 true
2106 23 2818 true
2107 22 2490 true
2108 22 2528 true
2109 22 3059 true
2110 22 2375 true
2111 21 2222 true
2112 20 4197 true
2113 23 2427 true
2114 24 2390 true
2115 22 2501 true
2116 22 4447 true
2117 22 2353 true
2118 25 2711 true
2119 24 2516 true
2120 20 2703 true
2121 22 2303 true
2122 22 2233 true
2123 21 2231 true
2124 23 2148 true
2125 23 2091 true
2126 22 2462 true
2127 23 2919 true
2128 24 2192 true
2129 21 2523 true
2200 21 4078 true
2201 21 2235 true
2202 20 2702 true
2203 20 2235 true
2204 22 2244 true
2205 23 2530 true
2206 23 2360 true
2207 21 2923 true
2208 22 2288 true
2209 21 4130 true
2210 22 2190 true
2211 21 2390 true
2212 22 2252 true
2213 23 2134 true
2214 23 2495 true
2215 21 2320 true
2216 21 2525 true
2217 18 2456 true
2218 21 2068 true
2219 20 2448 true
2220 21 2249 true
2221 21 2535 true
2222 22 2307 true
2223 20 2111 true
2224 20 2175 true
2225 23 2075 true
2226 22 2355 true
2227 23 2110 true
2228 20 2183 true
2229 21 2147 true
2300 23 2394 true
2301 21 2162 true
2302 21 2411 true
2303 21 2569 true
2304 23 2253 true
2305 21 2410 true
2306 21 2300 true
2307 22 2671 true
2308 20 2154 true
2309 22 2205 true
2310 21 2149 true
2311 22 2435 true
2312 20 3886 true
2313 23 2199 true
2314 22 2132 true
2315 20 2430 true
2316 21 2222 true
2317 21 2072 true
2318 22 2232 true
2319 20 2409 true
2320 25 2111 true
2321 20 2322 true
2322 22 2457 true
2323 21 2147 true
2324 21 2243 true
2325 20 2272 true
2326 23 2142 true
2327 22 2218 true
2328 19 2253 true
2329 21 2623 true
