[[100], [1.0], [0.01], [ROULETTE, RANK, TOURNAMENT], [SINGLE_POINT, DOUBLE_POINT, N_POINT, UNIFORM], [SINGLE_INVERT, DOUBLE_INVERT, HYPERMUTATE], [10000], [600000], [2000], [1.0], [1.0], [1.0]]
ID MIN_SELECTED AVG_SELECTED STDDEV_SELECTED AVG_GENERATIONS
000 42 47.5 3.0641293851417055 4481.1
001 43 46.1 1.8529256146249728 4174.5
002 44 46.5 1.509230856356236 3078.7
010 45 48.0 1.8257418583505536 3436.9
011 44 47.0 1.563471919941143 3638.7
012 42 45.9 1.7919573407620817 3090.6
020 43 45.7 2.0575065816014617 3786.0
021 44 46.6 2.065591117977289 4054.8
022 43 46.6 2.633122354417533 2994.0
030 40 46.1 2.923088169119167 3695.5
031 45 47.0 1.247219128924647 3815.0
032 44 46.7 1.4944341180973262 3144.0
100 44 46.8 2.0976176963403033 4377.7
101 44 47.0 2.6666666666666665 3185.5
102 44 46.8 2.4404006956964164 2424.1
110 44 47.6 2.590581230363393 4234.9
111 45 46.9 1.1972189997378646 3203.9
112 46 47.9 1.7288403306519924 2450.8
120 43 46.8 1.6865480854231358 4068.5
121 43 45.4 1.505545305418162 3501.1
122 43 46.1 2.3781411975649287 2322.2
130 42 46.1 2.233582075700127 4091.1
131 43 45.7 1.8287822299126937 3559.2
132 43 46.2 1.6193277068654826 2354.9
200 45 47.4 1.349897115421106 3561.0
201 43 47.3 2.7100635498903793 3453.0
202 45 47.8 2.1499353995462798 2584.9
210 46 47.9 1.1972189997378648 3437.6
211 44 47.1 2.2335820757001272 3641.0
212 44 47.6 1.9550504398153574 2552.6
220 43 46.9 2.3309511649396115 3213.8
221 46 46.7 1.0593499054713802 3261.5
222 43 46.4 2.412928142780514 2367.0
230 43 46.2 1.6865480854231356 3774.3
231 44 46.0 1.247219128924647 3247.0
232 43 45.6 2.0110804171997807 2513.9



ID NUM_SELECTED NUM_GENERATIONS FEASIBLE
0000 49 4633 true
0001 53 3221 true
0002 48 3422 true
0003 42 4983 true
0004 50 3641 true
0005 45 6009 true
0006 45 7545 true
0007 49 3945 true
0008 47 3966 true
0009 47 3446 true
0010 50 3318 true
0011 46 4540 true
0012 46 3108 true
0013 43 4336 true
0014 47 2955 true
0015 47 3701 true
0016 45 7066 true
0017 47 3474 true
0018 45 4185 true
0019 45 5062 true
0020 49 3110 true
0021 46 2954 true
0022 47 3036 true
0023 47 3146 true
0024 45 2912 true
0025 45 3258 true
0026 44 3719 true
0027 48 2788 true
0028 47 3120 true
0029 47 2744 true
0100 47 4489 true
0101 51 3383 true
0102 50 3014 true
0103 46 3354 true
0104 48 3398 true
0105 47 3214 true
0106 49 3470 true
0107 45 4081 true
0108 48 3068 true
0109 49 2898 true
0110 47 2944 true
0111 47 3129 true
0112 46 3779 true
0113 48 2661 true
0114 48 3386 true
0115 44 5389 true
0116 50 3978 true
0117 47 3324 true
0118 47 3425 true
0119 46 4372 true
0120 47 2838 true
0121 48 2886 true
0122 46 2934 true
0123 45 2807 true
0124 45 3707 true
0125 45 3157 true
0126 42 2867 true
0127 48 2688 true
0128 47 3360 true
0129 46 3662 true
0200 48 4792 true
0201 46 2739 true
0202 48 4302 true
0203 47 2575 true
0204 48 3922 true
0205 44 2911 true
0206 44 3630 true
0207 43 4304 true
0208 46 3357 true
0209 43 5328 true
0210 51 2988 true
0211 46 3234 true
0212 45 2894 true
0213 46 2902 true
0214 46 3463 true
0215 45 5979 true
0216 44 5601 true
0217 47 5170 true
0218 49 5030 true
0219 47 3287 true
0220 48 3104 true
0221 45 3251 true
0222 49 2738 true
0223 47 2863 true
0224 52 2795 true
0225 43 2918 true
0226 47 2727 true
0227 46 3162 true
0228 45 3213 true
0229 44 3169 true
0300 44 4376 true
0301 47 3135 true
0302 40 5292 true
0303 49 3121 true
0304 44 3626 true
0305 49 4944 true
0306 46 3313 true
0307 48 2802 true
0308 45 2885 true
0309 49 3461 true
0310 46 5189 true
0311 49 2810 true
0312 45 3919 true
0313 48 4801 true
0314 47 3024 true
0315 46 2960 true
0316 46 4679 true
0317 48 3320 true
0318 47 4212 true
0319 48 3236 true
0320 48 2748 true
0321 47 2977 true
0322 46 3106 true
0323 44 2949 true
0324 48 3361 true
0325 47 3543 true
0326 45 3485 true
0327 47 3058 true
0328 46 3402 true
0329 49 2811 true
1000 47 2772 true
1001 45 6055 true
1002 46 4235 true
1003 45 3877 true
1004 44 5208 true
1005 48 4626 true
1006 46 3504 true
1007 47 7069 true
1008 49 3376 true
1009 51 3055 true
1010 45 3346 true
1011 52 2736 true
1012 47 3058 true
1013 44 3488 true
1014 45 5014 true
1015 51 2966 true
1016 47 2439 true
1017 48 3042 true
1018 45 2801 true
1019 46 2965 true
1020 48 2406 true
1021 46 2421 true
1022 49 2355 true
1023 49 2542 true
1024 49 2778 true
1025 50 2207 true
1026 44 2350 true
1027 44 2341 true
1028 44 2310 true
1029 45 2531 true
1100 52 3356 true
1101 49 4662 true
1102 49 4189 true
1103 48 5598 true
1104 49 3481 true
1105 45 4789 true
1106 49 4173 true
1107 47 3615 true
1108 44 4392 true
1109 44 4094 true
1110 45 3131 true
1111 45 4327 true
1112 48 3627 true
1113 48 3166 true
1114 47 3164 true
1115 48 2343 true
1116 48 2713 true
1117 47 2544 true
1118 47 3337 true
1119 46 3687 true
1120 49 2272 true
1121 52 2342 true
1122 48 2657 true
1123 47 2358 true
1124 47 2701 true
1125 48 2315 true
1126 48 2295 true
1127 46 2347 true
1128 48 2871 true
1129 46 2350 true
1200 47 2921 true
1201 46 4683 true
1202 49 4465 true
1203 48 3834 true
1204 43 5605 true
1205 46 3372 true
1206 47 4493 true
1207 46 4432 true
1208 48 3619 true
1209 48 3261 true
1210 46 3124 true
1211 44 5396 true
1212 45 4443 true
1213 43 3263 true
1214 46 2494 true
1215 46 2590 true
1216 48 3826 true
1217 44 3126 true
1218 45 4115 true
1219 47 2634 true
1220 46 2221 true
1221 50 2419 true
1222 44 2351 true
1223 48 2188 true
1224 45 2227 true
1225 43 2226 true
1226 43 2140 true
1227 46 2867 true
1228 48 2427 true
1229 48 2156 true
1300 45 4372 true
1301 44 3969 true
1302 42 6155 true
1303 50 3231 true
1304 47 4680 true
1305 46 2935 true
1306 47 3988 true
1307 48 3816 true
1308 47 2551 true
1309 45 5214 true
1310 44 4801 true
1311 43 2356 true
1312 48 3281 true
1313 47 2865 true
1314 47 2498 true
1315 46 4754 true
1316 44 2760 true
1317 48 2072 true
1318 44 5555 true
1319 46 4650 true
1320 46 2121 true
1321 45 2204 true
1322 46 2690 true
1323 48 2695 true
1324 43 2326 true
1325 46 2297 true
1326 47 2518 true
1327 48 2208 true
1328 45 2255 true
1329 48 2235 true
2000 48 3176 true
2001 48 3510 true
2002 49 3715 true
2003 47 2954 true
2004 46 3600 true
2005 46 3102 true
2006 48 3015 true
2007 45 5850 true
2008 49 3065 true
2009 48 3623 true
