[[100], [1.0], [0.01], [ROULETTE], [UNIFORM], [SINGLE_INVERT, DOUBLE_INVERT, HYPERMUTATE], [10000], [300000], [2000], [1.0], [1.0], [1.0]]
ID MIN_SELECTED AVG_SELECTED STDDEV_SELECTED AVG_GENERATIONS
0 47 50.0 1.4907119849998598 0.0
1 44 46.333333333333336 1.3333333333333333 0.0
2 45 47.9 2.2335820757001272 0.0



ID NUM_SELECTED NUM_GENERATIONS FEASIBLE
00 52 0 true
01 47 0 true
02 50 0 true
03 50 0 true
04 50 0 false
05 49 0 true
06 51 0 true
07 52 0 true
08 49 0 true
09 50 0 true
10 45 0 true
11 48 0 true
12 48 0 true
13 45 0 true
14 43 0 false
15 47 0 true
16 47 0 true
17 44 0 true
18 47 0 true
19 46 0 true
20 50 0 true
21 48 0 true
22 47 0 true
23 51 0 true
24 46 0 true
25 51 0 true
26 45 0 true
27 48 0 true
28 48 0 true
29 45 0 true
