[[100], [1.0], [0.01], [ROULETTE], [UNIFORM], [SINGLE_INVERT, DOUBLE_INVERT, HYPERMUTATE], [10000], [300000], [2000], [1.0], [1.0], [1.0]]
ID MIN_SELECTED AVG_SELECTED STDDEV_SELECTED AVG_GENERATIONS
0 37 38.1 0.7378647873726218 0.0
1 32 33.5 1.4337208778404378 0.0
2 32 34.0 1.4142135623730951 0.0



ID NUM_SELECTED NUM_GENERATIONS FEASIBLE
00 38 0 true
01 39 0 true
02 39 0 true
03 37 0 true
04 38 0 true
05 38 0 true
06 38 0 true
07 38 0 true
08 39 0 true
09 37 0 true
10 37 0 true
11 33 0 true
12 32 0 true
13 34 0 true
14 32 0 true
15 33 0 true
16 33 0 true
17 34 0 true
18 33 0 true
19 34 0 true
20 32 0 true
21 36 0 true
22 35 0 true
23 35 0 true
24 34 0 true
25 35 0 true
26 32 0 true
27 33 0 true
28 35 0 true
29 33 0 true
