[[100], [1.0], [0.01], [ROULETTE, RANK, TOURNAMENT], [SINGLE_POINT, DOUBLE_POINT, N_POINT, UNIFORM], [SINGLE_INVERT, DOUBLE_INVERT, HYPERMUTATE], [10000], [600000], [2000], [1.0], [1.0], [1.0]]
ID MIN_SELECTED AVG_SELECTED STDDEV_SELECTED AVG_GENERATIONS
000 31 33.0 1.4907119849998598 4291.7
001 29 31.8 2.2997584414213788 4091.3
002 29 32.9 1.9119507199599983 3149.8
010 31 32.8 1.6865480854231358 4220.8
011 28 33.8 2.3475755815545343 4209.2
012 30 33.1 1.9692073983655902 3355.7
020 32 33.5 1.1785113019775793 3923.1
021 31 33.8 1.813529401164726 3916.8
022 30 32.4 1.7126976771553508 3338.2
030 30 33.2 1.9321835661585918 3958.5
031 29 33.2 2.0439612955674527 4243.3
032 31 32.9 1.3703203194062976 3065.1
100 33 35.4 1.9550504398153572 4739.8
101 30 32.3 1.636391694484477 3888.1
102 32 33.5 1.0801234497346432 2621.4
110 31 33.0 1.8257418583505536 5413.2
111 29 32.7 2.0027758514399734 3723.9
112 30 32.5 1.8408935028645435 2627.6
120 27 32.9 2.9981475762358483 3348.2
121 30 31.1 1.1005049346146116 3085.3
122 29 31.6 1.5055453054181622 2572.9
130 30 33.1 1.66332999331662 3471.3
131 28 32.0 2.494438257849294 3198.4
132 28 32.1 2.3309511649396115 2483.2
200 31 33.1 1.5951314818673865 4013.7
201 32 33.7 1.636391694484477 3364.7
202 31 33.1 1.2866839377079187 2548.5
210 30 32.6 1.955050439815357 4068.4
211 30 32.7 2.1628170930011112 3511.0
212 31 32.5 0.8498365855987975 2607.8
220 31 32.1 1.2866839377079187 3270.6
221 28 31.0 1.699673171197595 2878.1
222 30 32.7 1.3374935098492586 2477.9
230 31 32.7 0.9486832980505137 3378.7
231 30 32.1 1.3703203194062976 2913.5
232 30 32.2 1.3984117975602022 2470.8



ID NUM_SELECTED NUM_GENERATIONS FEASIBLE
0000 31 4243 true
0001 33 6519 true
0002 33 4327 true
0003 32 3856 true
0004 35 3316 true
0005 36 3463 true
0006 33 5007 true
0007 32 3394 true
0008 33 3385 true
0009 32 5407 true
0010 33 4037 true
0011 33 3479 true
0012 31 3681 true
0013 32 3935 true
0014 36 4371 true
0015 33 5914 true
0016 29 3652 true
0017 29 3936 true
0018 29 4059 true
0019 33 3849 true
0020 31 3345 true
0021 34 2889 true
0022 29 3817 true
0023 32 2884 true
0024 34 3125 true
0025 33 3092 true
0026 33 2896 true
0027 34 2931 true
0028 33 3231 true
0029 36 3288 true
0100 34 5916 true
0101 31 4375 true
0102 31 5165 true
0103 36 4089 true
0104 34 3253 true
0105 33 3462 true
0106 32 3291 true
0107 31 3784 true
0108 32 4706 true
0109 34 4167 true
0110 33 4118 true
0111 34 3487 true
0112 33 4485 true
0113 35 4370 true
0114 35 3371 true
0115 28 4332 true
0116 36 4052 true
0117 35 5028 true
0118 33 5699 true
0119 36 3150 true
0120 32 3956 true
0121 34 3262 true
0122 31 4035 true
0123 32 3425 true
0124 34 3103 true
0125 30 3259 true
0126 37 3212 true
0127 34 3111 true
0128 33 3146 true
0129 34 3048 true
0200 32 3568 true
0201 35 3835 true
0202 32 3906 true
0203 32 4136 true
0204 33 4101 true
0205 34 3704 true
0206 35 4627 true
0207 34 3197 true
0208 34 4826 true
0209 34 3331 true
0210 32 4097 true
0211 31 4084 true
0212 37 3764 true
0213 33 4303 true
0214 36 5037 true
0215 34 3396 true
0216 35 3241 true
0217 33 2965 true
0218 34 3670 true
0219 33 4611 true
0220 31 4138 true
0221 30 3768 true
0222 33 3004 true
0223 30 3125 true
0224 32 2979 true
0225 33 3144 true
0226 34 3123 true
0227 34 3426 true
0228 32 3337 true
0229 35 3338 true
0300 32 3683 true
0301 32 3386 true
0302 34 3294 true
0303 37 3507 true
0304 33 4763 true
0305 34 4555 true
0306 30 3942 true
0307 33 4044 true
0308 32 4833 true
0309 35 3578 true
0310 34 3276 true
0311 29 4273 true
0312 33 3523 true
0313 33 3705 true
0314 33 3626 true
0315 32 6264 true
0316 33 5288 true
0317 33 4373 true
0318 35 4455 true
0319 37 3650 true
0320 34 3112 true
0321 34 2760 true
0322 33 2593 true
0323 34 2766 true
0324 35 3068 true
0325 31 3293 true
0326 32 3120 true
0327 33 3629 true
0328 31 3438 true
0329 32 2872 true
1000 36 4380 true
1001 35 3552 true
1002 36 7517 true
1003 39 3969 true
1004 33 3734 true
1005 34 6973 true
1006 38 3821 true
1007 33 4119 true
1008 35 3804 true
1009 35 5529 true
1010 35 2792 true
1011 32 3672 true
1012 33 3082 true
1013 31 6022 true
1014 35 2680 true
1015 31 5313 true
1016 32 4210 true
1017 30 3897 true
1018 32 3788 true
1019 32 3425 true
1020 32 2855 true
1021 35 2393 true
1022 33 2645 true
1023 34 2777 true
1024 34 2609 true
1025 33 2566 true
1026 32 2781 true
1027 33 2653 true
1028 35 2449 true
1029 34 2486 true
1100 32 5192 true
1101 33 5271 true
1102 35 7125 true
1103 31 3646 true
1104 35 4510 true
1105 31 9382 true
1106 35 4453 true
1107 31 4910 true
1108 32 5988 true
1109 35 3655 true
1110 33 4040 true
1111 33 4298 true
1112 32 3184 true
1113 32 2949 true
1114 33 3258 true
1115 32 5404 true
1116 34 2874 true
1117 32 4280 true
1118 37 3109 true
1119 29 3843 true
1120 31 2815 true
1121 32 3116 true
1122 34 3221 true
1123 34 2455 true
1124 33 2389 true
1125 33 2549 true
1126 31 2290 true
1127 36 2649 true
1128 30 2486 true
1129 31 2306 true
1200 32 2446 true
1201 34 4864 true
1202 27 4150 true
1203 38 3040 true
1204 34 2059 true
1205 31 2971 true
1206 32 3562 true
1207 35 3537 true
1208 35 3638 true
1209 31 3215 true
1210 30 2924 true
1211 31 3316 true
1212 32 3962 true
1213 33 2055 true
1214 30 2786 true
1215 31 2874 true
1216 32 2482 true
1217 30 4201 true
1218 32 2492 true
1219 30 3761 true
1220 33 2170 true
1221 32 2523 true
1222 30 2517 true
1223 31 3561 true
1224 31 2509 true
1225 29 2520 true
1226 34 2239 true
1227 33 2958 true
1228 32 2582 true
1229 31 2150 true
1300 32 4493 true
1301 34 2407 true
1302 36 2279 true
1303 34 2759 true
1304 30 3109 true
1305 34 5731 true
1306 32 3491 true
1307 34 2276 true
1308 32 4117 true
1309 33 4051 true
1310 34 2133 true
1311 30 2694 true
1312 32 3614 true
1313 33 2974 true
1314 33 4387 true
1315 28 3129 true
1316 34 2675 true
1317 28 4446 true
1318 33 3656 true
1319 35 2276 true
1320 35 2412 true
1321 31 2437 true
1322 31 2482 true
1323 32 2782 true
1324 36 2790 true
1325 30 2297 true
1326 33 2242 true
1327 33 2327 true
1328 28 2574 true
1329 32 2489 true
2000 36 2745 true
2001 31 3578 true
2002 32 4265 true
2003 33 2931 true
2004 31 4857 true
2005 33 4284 true
2006 35 4306 true
2007 34 3531 true
2008 33 4577 true
2009 33 5063 true
2010 36 2927 true
2011 35 3680 true
2012 32 3263 true
2013 32 2846 true
2014 35 3323 true
2015 33 3779 true
2016 32 3121 true
2017 33 3993 true
2018 33 2893 true
2019 36 3822 true
2020 35 2346 true
2021 34 2439 true
2022 34 2606 true
2023 33 2865 true
2024 31 2808 true
2025 32 2580 true
2026 34 2326 true
2027 32 2765 true
2028 32 2379 true
2029 34 2371 true
2100 30 4259 true
2101 30 5655 true
2102 35 4540 true
2103 33 4752 true
2104 31 3313 true
2105 36 3625 true
2106 33 3003 true
2107 33 2851 true
2108 33 4108 true
